LEI,Entity Name,Short Name,Category,Entity Status,Organization Designation
549300ORF2FMHXODHJ66,Caldwell Securities Ltd.,CALD,Dealer Member,Active,Non-GSD
549300T0EM8DDTDWZP60,Canaccord Genuity Corp.,CGGI,Dealer Member,Active,GSD
2IGI19DL77OX0HC3ZE78,Canadian Imperial Bank of Commerce,CIBB,Schedule I Bank,Active,GSD
IIROCOOOOOOOOOOOCANS,Canadian ShareOwner Investments Inc.,CANS,Dealer Member,Active,Non-GSD
549300OAHEWZ9NUJL153,Canadian Tire Bank,CTRB,Schedule I Bank,Active,Non-GSD
549300QG7XFGLKN6HL17,Canadian Western Bank,CDWB,Schedule I Bank,Active,Non-GSD
5493008EYOZ1SZ0ZN858,CanDeal.ca Inc.,CAND,Dealer Member/ATS,Active,Non-GSD
IIROCOOOOOOOOOOOCTRF,Cantor Fitzgerald Canada Corporation,CTRF,Dealer Member,Active,Non-GSD
5493003LBDEDV2IVJW19,Casgrain & Company Limited,CASG,Dealer Member,Active,GSD
54930010155MJH8W7705,CFF Bank,CFFB,Schedule I Bank,Inactive,Non-GSD
549300FK31BZ6RQI9X62,Chippingham Financial Group Limited,CHIP,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOCHIX,Chi-X Canada ATS Limited,CHIX,Dealer Member,Active,Non-GSD
549300C4CDBLRRW04K78,CIBC Investor Services Inc.,CIBI,Dealer Member,Active,Non-GSD
549300TDJKVQJ41VN031,CIBC World Markets Inc.,CIBC,Dealer Member,Active,GSD
IIROCOOOOOOOOOOOCITG,CIT Group Securities (Canada) Inc.,CITG,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOCESC,Citadel Securities Canada ULC,CESC,Dealer Member,Active,Non-GSD
549300U6C5DCBKSIEB26,Citco Bank Canada,CTBC,Schedule II Bank,Inactive,Non-GSD
YJW4XPRSVL5L1ANG2086,Citibank Canada,CBKC,Schedule II Bank,Active,Non-GSD
IIROCOOOOOOOOOOOCITI,Citigroup Global Markets Canada Inc.,CITI,Dealer Member,Active,Non-GSD
5493009LT0J21LWHNM96,Citizens Bank of Canada,CBOC,Schedule I Bank,Active,Non-GSD
IIROCOOOOOOOOOOOCLAR,Clarus Securities Inc.,CLAR,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOCMCM,CMC Markets Canada Inc.,CMCM,Dealer Member,Active,Non-GSD
549300SUH8XF18ZB7M51,Cormark Securities Inc.,CORM,Dealer Member,Active,Non-GSD
549300113KPP1G6XWI39,Credential Securities Inc.,CRED,Dealer Member,Active,Non-GSD
549300XLNS8GBET6ZF43,"Credit Suisse Securities (Canada), Inc.",CRSU,Dealer Member,Active,Non-GSD
549300M4EHQ254ACQM10,CS Alterna Bank,CSAB,Schedule I Bank,Active,Non-GSD
IIROCOOOOOOOOOOOCTCB,CTC Bank of Canada,CTCB,Schedule II Bank,Inactive,Non-GSD
549300NGVLEWZ4CHWB37,CTI Capital Securities Inc.,CCSI,Dealer Member,Active,GSD
549300UMEEYBCHKH2V58,Cumberland Private Wealth Management Inc.,CUMB,Dealer Member,Active,Non-GSD
549300ZG5E3QCXPEEF56,Desjardins Securities Inc.,DESJ,Dealer Member,Active,GSD
